#305302 - 激動の監視者・レイワ
monster size: 5
new AI: True
start/max counter: 2
counter increment: 1
monster_id: 305302
approved: False

level: 1
 type: PREEMPT
 | (13323:83) ようこそ新元号へ + 私の名前はレイワ + 覚えてくれると･･･嬉しい + がんばってコンボしてね
   | condition: turn 8 while HP > 14
     | condition: 50% chance
     | (13345:83) 黒碌 + タイムロブ
     | Blind all orbs on the board + Movetime -3s for 2 turns, Deal 95% damage
     | condition: 50% chance
     | (13346:83) 漣錠 + ブレードダンス
     | Lock 10 random orbs + Deal 105% damage (3 hits, 35% each), Deal 105% damage (3 hits, 35% each)
   | group:
   | condition: turn 9 while HP > 14
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | (13351:127) それ
     | No skyfall for 2 turns
   | group:
   | condition: execute repeatedly, turn 2 of 3
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 3 of 3
     | (13351:127) それ
     | No skyfall for 2 turns
 | group:
 | condition: hp <= 14
   | group:
   | condition: turn 2
     | (13355:88) インカパシテイト
     | Bind awoken skills for 6 turns
   | group:
     | (13356:15) ありがとう、また来てね
     | Deal 1000% damage (5 hits, 200% each)

level: 6
 type: PREEMPT
 | (13323:83) ようこそ新元号へ + 私の名前はレイワ + 覚えてくれると･･･嬉しい + がんばってコンボしてね
 | Voids status ailments for 999 turns + Immune to damage from all sources for 999 turns + No skyfall for 10 turns + Spawn 6 random Fire, Water, Wood, Light, and Dark orbs
 group:
 | group:
 | condition: always turn 1
   | condition: when 10 combos last turn
   | (13386:83) 君･･･すごいね + それじゃ、いくよ
   | Reduce damage from all sources by 50% for 5 turns + Remove damage immunity effect
   | condition: when 8 combos last turn
   | (13389:83) おしかったね + スタビリティー + それじゃ、いくよ
   | Reduce damage from all sources by 50% for 5 turns + Void damage >= 50000000 for 999 turns + Remove damage immunity effect
   | (13391:83) 残念だったね + スタビリティー + タイムディストーション + それじゃ、いくよ
   | Reduce damage from all sources by 50% for 5 turns + Void damage >= 50000000 for 999 turns + Random 4 orbs change every 1.0s for 5 turns + Remove damage immunity effect
 | group:
   | (13342:83) えい + アンチキュア
   | Player -99% HP + RCV 50% for 2 turns
 | group:
 | condition: hp <= 94
   | group:
   | condition: turn 2 while HP > 49
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: turns 3-4 while HP > 49
     | condition: 50% chance
     | (13345:83) 黒碌 + タイムロブ
     | Blind all orbs on the board + Movetime -3s for 2 turns, Deal 95% damage
     | condition: 50% chance
     | (13346:83) 漣錠 + ブレードダンス
     | Lock 10 random orbs + Deal 105% damage (3 hits, 35% each), Deal 105% damage (3 hits, 35% each)
   | group:
   | condition: turn 5 while HP > 49
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: turns 6-7 while HP > 49
     | condition: 50% chance
     | (13345:83) 黒碌 + タイムロブ
     | Blind all orbs on the board + Movetime -3s for 2 turns, Deal 95% damage
     | condition: 50% chance
     | (13346:83) 漣錠 + ブレードダンス
     | Lock 10 random orbs + Deal 105% damage (3 hits, 35% each), Deal 105% damage (3 hits, 35% each)
   | group:
   | condition: turn 8 while HP > 49
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: turns 9-10 while HP > 49
     | condition: 50% chance
     | (13345:83) 黒碌 + タイムロブ
     | Blind all orbs on the board + Movetime -3s for 2 turns, Deal 95% damage
     | condition: 50% chance
     | (13346:83) 漣錠 + ブレードダンス
     | Lock 10 random orbs + Deal 105% damage (3 hits, 35% each), Deal 105% damage (3 hits, 35% each)
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 2-3 of 3
     | (13351:127) それ
     | No skyfall for 2 turns
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 2 while HP > 14
     | (13353:83) 天ノ鏡幕 + えい
     | Absorb damage when combos <= 6 for 99 turns + Player -99% HP
   | group:
   | condition: turn 3 while HP > 14
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: turn 5 while HP > 14
     | condition: 50% chance
     | (13345:83) 黒碌 + タイムロブ
     | Blind all orbs on the board + Movetime -3s for 2 turns, Deal 95% damage
     | condition: 50% chance
     | (13346:83) 漣錠 + ブレードダンス
     | Lock 10 random orbs + Deal 105% damage (3 hits, 35% each), Deal 105% damage (3 hits, 35% each)
   | group:
   | condition: turn 6 while HP > 14
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: turn 8 while HP > 14
     | condition: 50% chance
     | (13345:83) 黒碌 + タイムロブ
     | Blind all orbs on the board + Movetime -3s for 2 turns, Deal 95% damage
     | condition: 50% chance
     | (13346:83) 漣錠 + ブレードダンス
     | Lock 10 random orbs + Deal 105% damage (3 hits, 35% each), Deal 105% damage (3 hits, 35% each)
   | group:
   | condition: turn 9 while HP > 14
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | (13351:127) それ
     | No skyfall for 2 turns
   | group:
   | condition: execute repeatedly, turn 2 of 3
     | condition: 20% chance
     | (13327:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Water damage for 2 turns + Change own attribute to random one of Fire or Water, Deal 100% damage
     | condition: 25% chance
     | (13328:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Wood damage for 2 turns + Change own attribute to random one of Water or Wood, Deal 100% damage
     | condition: 33% chance
     | (13329:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Fire damage for 2 turns + Change own attribute to random one of Wood or Fire, Deal 100% damage
     | condition: 50% chance
     | (13330:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Dark damage for 2 turns + Change own attribute to random one of Light or Dark, Deal 100% damage
     | (13331:83) 新しい時代･･･ + 君にはどんな色に見えてる？
     | Absorb Light damage for 2 turns + Change own attribute to random one of Dark or Light, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 3 of 3
     | (13351:127) それ
     | No skyfall for 2 turns
 | group:
 | condition: hp <= 14
   | group:
   | condition: turn 2
     | (13355:88) インカパシテイト
     | Bind awoken skills for 6 turns
   | group:
     | (13356:15) ありがとう、また来てね
     | Deal 1000% damage (5 hits, 200% each)
